id	DBpedia_URI	album	artist	date	score	label
1225	http://dbpedia.org/resource/Playing_with_Fire_(Kevin_Federline_album)	Playing With Fire	Kevin Federline	31-Oct-06	15	bad
760	http://dbpedia.org/resource/Testify_(Phil_Collins_album)	Testify	Phil Collins	12-Nov-02	34	bad
419	http://dbpedia.org/resource/Life_on_Display	Life On Display	Puddle Of Mudd	25-Nov-03	37	bad
392	http://dbpedia.org/resource/A_Day_Without_Rain	A Day Without Rain	Enya	21-Nov-00	41	bad
1599	http://dbpedia.org/resource/The_Cosmos_Rocks	Cosmos Rocks	Queen + Paul Rodgers	28-Oct-08	42	bad
41	http://dbpedia.org/resource/Hell_in_a_Handbasket	Hell in a Handbasket	Meat Loaf	13-Mar-12	44	bad
866	http://dbpedia.org/resource/Some_Kind_of_Trouble	Some Kind of Trouble	James Blunt	18-Jan-11	45	bad
898	http://dbpedia.org/resource/Democrazy	Democrazy	Damon Albarn	8-Dec-03	45	bad
74	http://dbpedia.org/resource/Pull_the_Pin	Pull The Pin	Stereophonics	15-Oct-07	46	bad
1270	http://dbpedia.org/resource/Gary_Go_(album)	Gary Go	Gary Go	15-Sep-09	47	bad
1504	http://dbpedia.org/resource/Sorry_for_Party_Rocking	Sorry for Party Rocking	LMFAO	21-Jun-11	47	bad
25	http://dbpedia.org/resource/Second_Round's_on_Me	Second Round's On Me	Obie Trice	15-Aug-06	48	bad
571	http://dbpedia.org/resource/When_It_All_Goes_South	When It All Goes South	Alabama	16-Jan-01	48	bad
1532	http://dbpedia.org/resource/Sex_Dreams_and_Denim_Jeans	Sex Dreams And Denim Jeans	Uffie	22-Jun-10	48	bad
50	http://dbpedia.org/resource/Studio_150	Studio 150	Paul Weller	14-Sep-04	48	bad
1100	http://dbpedia.org/resource/Streets_of_Gold	Streets Of Gold	3OH!3	29-Jun-10	48	bad
1539	http://dbpedia.org/resource/Lotusflower_(album)	Elixer	Bria Valente	29-Mar-09	49	bad
267	http://dbpedia.org/resource/Chocolate_Starfish_and_the_Hot_Dog_Flavored_Water	Chocolate Starfish and the Hot Dog Flavored Water	Limp Bizkit	17-Oct-00	49	bad
561	http://dbpedia.org/resource/Brassbound	Brassbound	The Ordinary Boys	20-Jun-05	50	bad
1584	http://dbpedia.org/resource/Winning_Days	Winning Days	The Vines	23-Mar-04	50	bad
792	http://dbpedia.org/resource/Shock_Value_II	Shock Value II	Timbaland	8-Dec-09	50	bad
809	http://dbpedia.org/resource/Twisted_Angel	Twisted Angel	LeAnn Rimes	1-Oct-02	51	bad
44	http://dbpedia.org/resource/Do_You_Want_the_Truth_or_Something_Beautiful%3F	Do You Want The Truth Or Something Beautiful?	Paloma Faith	28-Sep-09	51	bad
428	http://dbpedia.org/resource/The_Block_(album)	The Block	New Kids on the Block	2-Sep-08	51	bad
208	http://dbpedia.org/resource/Rebelution_(Pitbull_album)	Rebelution	Pitbull	1-Sep-09	51	bad
101	http://dbpedia.org/resource/Keys_to_the_World	Keys To The World	Richard Ashcroft	21-Mar-06	52	bad
164	http://dbpedia.org/resource/20_Y.O.	20 Y.O.	Janet Jackson	26-Sep-06	52	bad
59	http://dbpedia.org/resource/Size_Matters	Size Matters	Helmet	5-Oct-04	52	bad
737	http://dbpedia.org/resource/Devil's_Playground_(album)	Devil's Playground	Billy Idol	22-Mar-05	52	bad
481	http://dbpedia.org/resource/SuperHeavy_(album)	SuperHeavy	Superheavy	20-Sep-11	52	bad
693	http://dbpedia.org/resource/Sounds_from_Nowheresville	Sounds from Nowheresville	The Ting Tings	13-Mar-12	52	bad
612	http://dbpedia.org/resource/Kris_Allen_(album)	Kris Allen	Kris Allen	17-Nov-09	52	bad
292	http://dbpedia.org/resource/Black_Swan_(album)	Black Swan	Athlete	2-Mar-10	52	bad
805	http://dbpedia.org/resource/City_Beach_(album)	City Beach	Jill Cunniff	20-Feb-07	52	bad
535	http://dbpedia.org/resource/Blood_Like_Lemonade	Blood Like Lemonade	Morcheeba	7-Jun-10	52	bad
1456	http://dbpedia.org/resource/Slipway_Fires	Slipway Fires	Razorlight	10-Mar-09	52	bad
652	http://dbpedia.org/resource/Q_Soul_Bossa_Nostra	Q: Soul Bossa Nostra	Quincy Jones	9-Nov-10	53	bad
563	http://dbpedia.org/resource/Until_One	Until One	Swedish House Mafia	25-Oct-10	53	bad
979	http://dbpedia.org/resource/Fly_from_Here	Fly from Here	Yes	12-Jul-11	53	bad
1183	http://dbpedia.org/resource/Silence_Is_Easy	Silence Is Easy	Starsailor	27-Jan-04	53	bad
715	http://dbpedia.org/resource/Just_Whitney	Just Whitney	Whitney Houston	10-Dec-02	53	bad
755	http://dbpedia.org/resource/Trust_Me_(album)	Trust Me	Craig David	6-May-08	53	bad
1327	http://dbpedia.org/resource/Are_You_Passionate%3F	Are You Passionate?	Neil Young	9-Apr-02	54	bad
1047	http://dbpedia.org/resource/I_Dreamed_a_Dream_(album)	I Dreamed A Dream	Susan Boyle	23-Nov-09	54	bad
1259	http://dbpedia.org/resource/Mail_on_Sunday_(album)	Mail On Sunday	Flo Rida	18-Mar-08	54	bad
148	http://dbpedia.org/resource/Somebody's_Miracle	Somebody's Miracle	Liz Phair	4-Oct-05	54	bad
1218	http://dbpedia.org/resource/Electronic_Earth	Electronic Earth	Labrinth	2-Apr-12	55	bad
888	http://dbpedia.org/resource/Havoc_and_Bright_Lights	Havoc and Bright Lights	Alanis Morissette	28-Aug-12	55	bad
