id	DBpedia_URI	album	artist	date
127	http://dbpedia.org/resource/Majesty_Shredding	Majesty Shredding	Superchunk	14-Sep-10
1194	http://dbpedia.org/resource/Live_on_I-5	Live on I-5	Soundgarden	22-Mar-11
211	http://dbpedia.org/resource/Dressy_Bessy_(album)	Dressy Bessy	Dressy Bessy	26-Aug-03
1007	http://dbpedia.org/resource/Congregation_of_the_Damned	Congregation Of The Damned	Atreyu	26-Oct-09
1327	http://dbpedia.org/resource/Are_You_Passionate%3F	Are You Passionate?	Neil Young	9-Apr-02
419	http://dbpedia.org/resource/Life_on_Display	Life On Display	Puddle Of Mudd	25-Nov-03
1025	http://dbpedia.org/resource/Major/Minor_(album)	Major/Minor	Thrice	20-Sep-11
1032	http://dbpedia.org/resource/Storm_Corrosion_(album)	Storm Corrosion	Storm Corrosion	8-May-12
294	http://dbpedia.org/resource/R.O.O.T.S.	R.O.O.T.S	Flo Rida	31-Mar-09
1533	http://dbpedia.org/resource/Swing_Lo_Magellan	Swing Lo Magellan	Dirty Projectors	10-Jul-12
652	http://dbpedia.org/resource/Q_Soul_Bossa_Nostra	Q: Soul Bossa Nostra	Quincy Jones	9-Nov-10
1105	http://dbpedia.org/resource/Avalanche_United	Avalanche United	I Am the Avalanche	11-Oct-11
589	http://dbpedia.org/resource/Turning_the_Mind	Turning the Mind	Maps	20-Oct-09
1586	http://dbpedia.org/resource/Ghostbird	Ghostbird	Zee Avi	23-Aug-11
1460	http://dbpedia.org/resource/Grrr...	Grrr...	Bishop Allen	10-Mar-09
547	http://dbpedia.org/resource/Nixon_(album)	Nixon	Lambchop	8-Feb-00
1047	http://dbpedia.org/resource/I_Dreamed_a_Dream_(album)	I Dreamed A Dream	Susan Boyle	23-Nov-09
668	http://dbpedia.org/resource/Odd_Soul	Odd Soul	MUTEMATH	4-Oct-11
1082	http://dbpedia.org/resource/The_Idler_Wheel...	The Idler Wheel Is Wiser than the Driver of the Screw and Whipping Cords Will Serve You More than Ropes Will Ever Do	Fiona Apple	19-Jun-12
866	http://dbpedia.org/resource/Some_Kind_of_Trouble	Some Kind of Trouble	James Blunt	18-Jan-11
1389	http://dbpedia.org/resource/Tones_of_Town	Tones Of Town	Field Music	13-Feb-07
994	http://dbpedia.org/resource/Strange_Mercy	St. Vincent	St. Vincent	25-Feb-14
1365	http://dbpedia.org/resource/Out_of_Nothing	Out Of Nothing	Embrace	14-Jun-05
999	"http://dbpedia.org/resource/Sun,_Sun,_Sun"	"Sun, Sun, Sun"	The Elected	24-Jan-06
563	http://dbpedia.org/resource/Until_One	Until One	Swedish House Mafia	25-Oct-10
233	http://dbpedia.org/resource/Teen_Dream	Teen Dream	Beach House	26-Jan-10
851	http://dbpedia.org/resource/Invicta_(album)	Invicta	Hit the Lights	31-Jan-12
1259	http://dbpedia.org/resource/Mail_on_Sunday_(album)	Mail On Sunday	Flo Rida	18-Mar-08
920	http://dbpedia.org/resource/The_Budos_Band_III	The Budos Band III	The Budos Band	10-Aug-10
1426	http://dbpedia.org/resource/Goodbye_Lullaby	Goodbye Lullaby	Avril Lavigne	8-Mar-11
139	http://dbpedia.org/resource/The_Third_Hand	The Third Hand	Rjd2	6-Mar-07
1017	http://dbpedia.org/resource/Live_at_the_Aragon	Live at the Aragon	Mastodon	15-Mar-11
608	http://dbpedia.org/resource/My_Beautiful_Dark_Twisted_Fantasy	My Beautiful Dark Twisted Fantasy	Kanye West	22-Nov-10
268	http://dbpedia.org/resource/We_Love_Life	We Love Life	Pulp	20-Aug-02
466	http://dbpedia.org/resource/Django_Django_(album)	Django Django	Django Django	30-Jan-12
1001	http://dbpedia.org/resource/MGMT_(album)	MGMT	MGMT	17-Sep-13
327	http://dbpedia.org/resource/Little_Sparrow	Dolly	Dolly Parton	26-Oct-09
1172	http://dbpedia.org/resource/Recitation_(album)	Recitation	Envy	12-Oct-10
